MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
4|9/22/20|7:30:00|Sharjah|RR|CSK|RR|CSK|16 runs|9|9|1|RR|46.31
9|9/27/20|7:30:00|Sharjah|RR|KXIP|RR|KXIP|4 wickets|15|8.5|1|RR|39.68
12|9/30/20|7:30:00|Dubai|RR|KKR|KKR|RR|37 runs|6|8.5|1|KKR|37.08
15|10/3/20|3:30:00|Abu Dhabi|RCB|RR|RCB|RR|8 wickets|22|8.5|1|RR|18.41
26|10/11/20|3:30:00|Dubai|SRH|RR|RR|SRH|5 wickets|25|8.5|1|RR|17.77
30|10/14/20|7:30:00|Dubai|DC|RR|DC|RR|13 runs|49|8.5|1|RR|11.67
33|10/17/20|3:30:00|Dubai|RR|RCB|RCB|RR|7 wickets|62|8.5|1|RCB|19.2
37|10/19/20|7:30:00|Abu Dhabi|CSK|RR|RR|CSK|7 wickets|8|8.5|1|RR|48.52
50|10/30/20|7:30:00|Abu Dhabi|KXIP|RR|RR|KXIP|7 wickets|39|8.5|1|RR|55.35
4|9/22/20|7:30:00|Sharjah|RR|CSK|RR|CSK|16 runs|9|9|1|RR|46.31
9|9/27/20|7:30:00|Sharjah|RR|KXIP|RR|KXIP|4 wickets|15|8.5|1|RR|39.68
12|9/30/20|7:30:00|Dubai|RR|KKR|KKR|RR|37 runs|6|8.5|1|KKR|37.08
15|10/3/20|3:30:00|Abu Dhabi|RCB|RR|RCB|RR|8 wickets|22|8.5|1|RR|18.41
26|10/11/20|3:30:00|Dubai|SRH|RR|RR|SRH|5 wickets|25|8.5|1|RR|17.77
30|10/14/20|7:30:00|Dubai|DC|RR|DC|RR|13 runs|49|8.5|1|RR|11.67
33|10/17/20|3:30:00|Dubai|RR|RCB|RCB|RR|7 wickets|62|8.5|1|RCB|19.2
37|10/19/20|7:30:00|Abu Dhabi|CSK|RR|RR|CSK|7 wickets|8|8.5|1|RR|48.52
40|10/22/20|7:30:00|Dubai|RR|SRH|SRH|RR|8 wickets|27|8.5|1|SRH|52.42
45|10/25/20|7:30:00|Abu Dhabi|RR|MI|RR|MI|8 wickets|19|8.5|1|MI|54.67
50|10/30/20|7:30:00|Abu Dhabi|KXIP|RR|RR|KXIP|7 wickets|39|8.5|1|RR|55.35
