MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
1|9/19/20|7:30:00|Abu Dhabi|MI|CSK|CSK|MI|5 wickets|22|9.5|4|MI|76.8
5|9/23/20|7:30:00|Abu Dhabi|KKR|MI|MI|KKR|49 runs|50|9.5|4|MI|60.04
10|9/28/20|7:30:00|Dubai|RCB|MI|RCB|MI|2 wickets)|21|9.5|4|MI|54.2
13|10/1/20|7:30:00|Abu Dhabi|KXIP|MI|MI|KXIP|48 runs|41|9.5|4|MI|38.54
17|10/4/20|3:30:00|Sharjah|MI|SRH|MI|SRH|34 runs|46|9.5|4|SRH|52.26
20|10/6/20|7:30:00|Abu Dhabi|MI|RR|MI|RR|57 runs|46|9.5|4|RR|39.47
27|10/11/20|7:30:00|Abu Dhabi|MI|DC|MI|DC|5 wickets|2|9|1|DC|46.29
32|10/16/20|7:30:00|Abu Dhabi|MI|KKR|MI|KKR|8 wickets|30|9|1|KKR|37.2
36|10/18/20|7:30:00|Dubai|MI|KXIP|KXIP|MI|2 wickets)|14|9|1|KXIP|41.15
1|9/19/20|7:30:00|Abu Dhabi|MI|CSK|CSK|MI|5 wickets|22|9.5|4|MI|76.8
5|9/23/20|7:30:00|Abu Dhabi|KKR|MI|MI|KKR|49 runs|50|9.5|4|MI|60.04
10|9/28/20|7:30:00|Dubai|RCB|MI|RCB|MI|2 wickets)|21|9.5|4|MI|54.2
13|10/1/20|7:30:00|Abu Dhabi|KXIP|MI|MI|KXIP|48 runs|41|9.5|4|MI|38.54
17|10/4/20|3:30:00|Sharjah|MI|SRH|MI|SRH|34 runs|46|9.5|4|SRH|52.26
20|10/6/20|7:30:00|Abu Dhabi|MI|RR|MI|RR|57 runs|46|9.5|4|RR|39.47
27|10/11/20|7:30:00|Abu Dhabi|MI|DC|MI|DC|5 wickets|2|9|1|DC|46.29
32|10/16/20|7:30:00|Abu Dhabi|MI|KKR|MI|KKR|8 wickets|30|9|1|KKR|37.2
36|10/18/20|7:30:00|Dubai|MI|KXIP|KXIP|MI|2 wickets)|14|9|1|KXIP|41.15
41|10/23/20|7:30:00|Sharjah|CSK|MI|MI|CSK|10 wickets|4|8.5|1|MI|51.73
45|10/25/20|7:30:00|Abu Dhabi|RR|MI|RR|MI|8 wickets|88|8.5|1|MI|53.93
48|10/28/20|7:30:00|Abu Dhabi|MI|RCB|MI|RCB|5 wickets|25|8.5|1|RCB|65.96
