MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
5|9/23/20|7:30:00|Abu Dhabi|KKR|MI|MI|KKR|49 runs|32|9|4|KKR|33.86
8|9/26/20|7:30:00|Abu Dhabi|KKR|SRH|KKR|SRH|7 wickets|36|9|4|KKR|45.02
12|9/30/20|7:30:00|Dubai|RR|KKR|KKR|RR|37 runs|30|9|4|KKR|49.35
16|10/3/20|7:30:00|Sharjah|DC|KKR|DC|KKR|18 runs|82|9|1|KKR|48.93
21|10/7/20|7:30:00|Abu Dhabi|KKR|CSK|KKR|CSK|10 runs|14|9|1|CSK|53.87
24|10/10/20|3:30:00|Abu Dhabi|KXIP|KKR|KKR|KXIP|2 runs|14|9|1|KKR|53.52
28|10/12/20|7:30:00|Sharjah|RCB|KKR|RCB|KKR|82 runs|12|9|1|KKR|43.75
32|10/16/20|7:30:00|Abu Dhabi|MI|KKR|MI|KKR|8 wickets|10|9|1|KKR|41.97
35|10/18/20|3:30:00|Abu Dhabi|SRH|KKR|KKR|SRH|2 wickets)|46|9|1|KKR|35.24
39|10/21/20|7:30:00|Abu Dhabi|KKR|RCB|RCB|KKR|8 wickets|2|8.5|1|RCB|38.1
5|9/23/20|7:30:00|Abu Dhabi|KKR|MI|MI|KKR|49 runs|32|9|4|KKR|33.86
8|9/26/20|7:30:00|Abu Dhabi|KKR|SRH|KKR|SRH|7 wickets|36|9|4|KKR|45.02
12|9/30/20|7:30:00|Dubai|RR|KKR|KKR|RR|37 runs|30|9|4|KKR|49.35
16|10/3/20|7:30:00|Sharjah|DC|KKR|DC|KKR|18 runs|82|9|1|KKR|48.93
21|10/7/20|7:30:00|Abu Dhabi|KKR|CSK|KKR|CSK|10 runs|14|9|1|CSK|53.87
24|10/10/20|3:30:00|Abu Dhabi|KXIP|KKR|KKR|KXIP|2 runs|14|9|1|KKR|53.52
28|10/12/20|7:30:00|Sharjah|RCB|KKR|RCB|KKR|82 runs|12|9|1|KKR|43.75
32|10/16/20|7:30:00|Abu Dhabi|MI|KKR|MI|KKR|8 wickets|10|9|1|KKR|41.97
35|10/18/20|3:30:00|Abu Dhabi|SRH|KKR|KKR|SRH|2 wickets)|46|9|1|KKR|35.24
39|10/21/20|7:30:00|Abu Dhabi|KKR|RCB|RCB|KKR|8 wickets|2|8.5|1|RCB|38.1
42|10/24/20|3:30:00|Abu Dhabi|KKR|DC|KKR|DC|59 runs|108|8.5|1|DC|32.88
46|10/26/20|7:30:00|Sharjah|KKR|KXIP|KXIP|KKR|8 wickets|2|8.5|1|KXIP|72.34
49|10/29/20|7:30:00|Dubai|CSK|KKR|CSK|KKR|6 wickets|117|8.5|1|KKR|51.59
