MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
5|9/23/20|7:30:00|Abu Dhabi|KKR|MI|MI|KKR|49 runs|29|9|1|KKR|69.87
8|9/26/20|7:30:00|Abu Dhabi|KKR|SRH|KKR|SRH|7 wickets|53|9|1|KKR|60.11
12|9/30/20|7:30:00|Dubai|RR|KKR|KKR|RR|37 runs|43|9|1|KKR|84.53
16|10/3/20|7:30:00|Sharjah|DC|KKR|DC|KKR|18 runs|67|9|1|KKR|67.82
21|10/7/20|7:30:00|Abu Dhabi|KKR|CSK|KKR|CSK|10 runs|18|9.5|1|CSK|69.68
24|10/10/20|3:30:00|Abu Dhabi|KXIP|KKR|KKR|KXIP|2 runs|32|9.5|1|KKR|64.77
28|10/12/20|7:30:00|Sharjah|RCB|KKR|RCB|KKR|82 runs|11|9.5|1|KKR|59.38
32|10/16/20|7:30:00|Abu Dhabi|MI|KKR|MI|KKR|8 wickets|49|9.5|1|KKR|62.58
35|10/18/20|3:30:00|Abu Dhabi|SRH|KKR|KKR|SRH|2 wickets)|43|9.5|1|KKR|62.12
39|10/21/20|7:30:00|Abu Dhabi|KKR|RCB|RCB|KKR|8 wickets|39|9.5|1|RCB|62.49
5|9/23/20|7:30:00|Abu Dhabi|KKR|MI|MI|KKR|49 runs|29|9|1|KKR|69.87
8|9/26/20|7:30:00|Abu Dhabi|KKR|SRH|KKR|SRH|7 wickets|53|9|1|KKR|60.11
12|9/30/20|7:30:00|Dubai|RR|KKR|KKR|RR|37 runs|43|9|1|KKR|84.53
16|10/3/20|7:30:00|Sharjah|DC|KKR|DC|KKR|18 runs|67|9|1|KKR|67.82
21|10/7/20|7:30:00|Abu Dhabi|KKR|CSK|KKR|CSK|10 runs|18|9.5|1|CSK|69.68
24|10/10/20|3:30:00|Abu Dhabi|KXIP|KKR|KKR|KXIP|2 runs|32|9.5|1|KKR|64.77
28|10/12/20|7:30:00|Sharjah|RCB|KKR|RCB|KKR|82 runs|11|9.5|1|KKR|59.38
32|10/16/20|7:30:00|Abu Dhabi|MI|KKR|MI|KKR|8 wickets|49|9.5|1|KKR|62.58
35|10/18/20|3:30:00|Abu Dhabi|SRH|KKR|KKR|SRH|2 wickets)|43|9.5|1|KKR|62.12
39|10/21/20|7:30:00|Abu Dhabi|KKR|RCB|RCB|KKR|8 wickets|39|9.5|1|RCB|62.49
42|10/24/20|3:30:00|Abu Dhabi|KKR|DC|KKR|DC|59 runs|33|9.5|1|DC|72.4
46|10/26/20|7:30:00|Sharjah|KKR|KXIP|KXIP|KKR|8 wickets|53|9.5|1|KXIP|69.39
49|10/29/20|7:30:00|Dubai|CSK|KKR|CSK|KKR|6 wickets|21|9.5|1|KKR|74.08
