MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
1|9/19/20|7:30:00|Abu Dhabi|MI|CSK|CSK|MI|5 wickets|68|8.5|4|CSK|13.98
4|9/22/20|7:30:00|Sharjah|RR|CSK|RR|CSK|16 runs|101|8.5|4|CSK|72.08
7|9/25/20|7:30:00|Dubai|CSK|DC|DC|CSK|44 runs|30|8.5|4|CSK|84.31
14|10/2/20|7:30:00|Dubai|CSK|SRH|SRH|CSK|7 runs|25|8.5|4|SRH|82.98
18|10/4/20|7:30:00|Dubai|KXIP|CSK|CSK|KXIP|10 wickets|8|8.5|4|CSK|78.91
21|10/7/20|7:30:00|Abu Dhabi|KKR|CSK|KKR|CSK|10 runs|74|8.5|4|CSK|54.72
25|10/10/20|7:30:00|Dubai|CSK|RCB|RCB|CSK|37 runs|21|9|4|RCB|64.51
29|10/13/20|7:30:00|Dubai|SRH|CSK|CSK|SRH|20 runs|77|9|4|CSK|66.71
34|10/17/20|7:30:00|Sharjah|DC|CSK|DC|CSK|5 wickets|35|9|4|CSK|77.55
37|10/19/20|7:30:00|Abu Dhabi|CSK|RR|RR|CSK|7 wickets|29|9|4|RR|70.93
1|9/19/20|7:30:00|Abu Dhabi|MI|CSK|CSK|MI|5 wickets|68|8.5|4|CSK|13.98
4|9/22/20|7:30:00|Sharjah|RR|CSK|RR|CSK|16 runs|101|8.5|4|CSK|72.08
7|9/25/20|7:30:00|Dubai|CSK|DC|DC|CSK|44 runs|30|8.5|4|CSK|84.31
14|10/2/20|7:30:00|Dubai|CSK|SRH|SRH|CSK|7 runs|25|8.5|4|SRH|82.98
18|10/4/20|7:30:00|Dubai|KXIP|CSK|CSK|KXIP|10 wickets|8|8.5|4|CSK|78.91
21|10/7/20|7:30:00|Abu Dhabi|KKR|CSK|KKR|CSK|10 runs|74|8.5|4|CSK|54.72
25|10/10/20|7:30:00|Dubai|CSK|RCB|RCB|CSK|37 runs|21|9|4|RCB|64.51
29|10/13/20|7:30:00|Dubai|SRH|CSK|CSK|SRH|20 runs|77|9|4|CSK|66.71
34|10/17/20|7:30:00|Sharjah|DC|CSK|DC|CSK|5 wickets|35|9|4|CSK|77.55
37|10/19/20|7:30:00|Abu Dhabi|CSK|RR|RR|CSK|7 wickets|29|9|4|RR|70.93
41|10/23/20|7:30:00|Sharjah|CSK|MI|MI|CSK|10 wickets|72|9|4|MI|72.87
44|10/25/20|3:30:00|Dubai|RCB|CSK|CSK|RCB|8 wickets|79|9.5|4|CSK|69.75
49|10/29/20|7:30:00|Dubai|CSK|KKR|CSK|KKR|6 wickets|26|10|4|KKR|82.11
