MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
3|9/21/20|7:30:00|Dubai|SRH|RCB|RCB|SRH|10 runs|34|10.5|1|RCB|76.74
6|9/24/20|7:30:00|Dubai|KXIP|RCB|KXIP|RCB|97 runs|5|10.5|1|RCB|81.76
10|9/28/20|7:30:00|Dubai|RCB|MI|RCB|MI|2 wickets)|1|10.5|1|MI|67.09
15|10/3/20|3:30:00|Abu Dhabi|RCB|RR|RCB|RR|8 wickets|95|10.5|1|RR|59.07
19|10/5/20|7:30:00|Dubai|RCB|DC|DC|RCB|59 runs|51|10.5|1|DC|76.92
25|10/10/20|7:30:00|Dubai|CSK|RCB|RCB|CSK|37 runs|114|10.5|1|RCB|73.14
28|10/12/20|7:30:00|Sharjah|RCB|KKR|RCB|KKR|82 runs|38|10.5|1|KKR|86.77
31|10/15/20|7:30:00|Sharjah|RCB|KXIP|KXIP|RCB|8 wickets|55|10.5|1|KXIP|73.57
33|10/17/20|3:30:00|Dubai|RR|RCB|RCB|RR|7 wickets|52|10.5|1|RCB|80.59
39|10/21/20|7:30:00|Abu Dhabi|KKR|RCB|RCB|KKR|8 wickets|24|10.5|1|RCB|84.1
3|9/21/20|7:30:00|Dubai|SRH|RCB|RCB|SRH|10 runs|34|10.5|1|RCB|76.74
6|9/24/20|7:30:00|Dubai|KXIP|RCB|KXIP|RCB|97 runs|5|10.5|1|RCB|81.76
10|9/28/20|7:30:00|Dubai|RCB|MI|RCB|MI|2 wickets)|1|10.5|1|MI|67.09
15|10/3/20|3:30:00|Abu Dhabi|RCB|RR|RCB|RR|8 wickets|95|10.5|1|RR|59.07
19|10/5/20|7:30:00|Dubai|RCB|DC|DC|RCB|59 runs|51|10.5|1|DC|76.92
25|10/10/20|7:30:00|Dubai|CSK|RCB|RCB|CSK|37 runs|114|10.5|1|RCB|73.14
28|10/12/20|7:30:00|Sharjah|RCB|KKR|RCB|KKR|82 runs|38|10.5|1|KKR|86.77
31|10/15/20|7:30:00|Sharjah|RCB|KXIP|KXIP|RCB|8 wickets|55|10.5|1|KXIP|73.57
33|10/17/20|3:30:00|Dubai|RR|RCB|RCB|RR|7 wickets|52|10.5|1|RCB|80.59
39|10/21/20|7:30:00|Abu Dhabi|KKR|RCB|RCB|KKR|8 wickets|24|10.5|1|RCB|84.1
44|10/25/20|3:30:00|Dubai|RCB|CSK|CSK|RCB|8 wickets|65|10.5|1|CSK|79.18
48|10/28/20|7:30:00|Abu Dhabi|MI|RCB|MI|RCB|5 wickets|11|10.5|1|RCB|82.71
