MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
2|9/20/20|7:30:00|Dubai|DC|KXIP|DC|KXIP|2 wickets)|58|9|2|DC|58.85
16|10/3/20|7:30:00|Sharjah|DC|KKR|DC|KKR|18 runs|-2|9|2|KKR|22.59
19|10/5/20|7:30:00|Dubai|RCB|DC|DC|RCB|59 runs|37|9|2|DC|23.45
23|10/9/20|7:30:00|Sharjah|RR|DC|DC|RR|46 runs|56|9|2|DC|26.63
27|10/11/20|7:30:00|Abu Dhabi|MI|DC|MI|DC|5 wickets|29|9|2|DC|36.5
30|10/14/20|7:30:00|Dubai|DC|RR|DC|RR|13 runs|41|9|2|RR|41.75
34|10/17/20|7:30:00|Sharjah|DC|CSK|DC|CSK|5 wickets|2|9|2|CSK|49.97
38|10/20/20|7:30:00|Dubai|KXIP|DC|KXIP|DC|5 wickets|35|8.5|2|DC|43.14
2|9/20/20|7:30:00|Dubai|DC|KXIP|DC|KXIP|2 wickets)|58|9|2|DC|58.85
16|10/3/20|7:30:00|Sharjah|DC|KKR|DC|KKR|18 runs|-2|9|2|KKR|22.59
19|10/5/20|7:30:00|Dubai|RCB|DC|DC|RCB|59 runs|37|9|2|DC|23.45
23|10/9/20|7:30:00|Sharjah|RR|DC|DC|RR|46 runs|56|9|2|DC|26.63
27|10/11/20|7:30:00|Abu Dhabi|MI|DC|MI|DC|5 wickets|29|9|2|DC|36.5
30|10/14/20|7:30:00|Dubai|DC|RR|DC|RR|13 runs|41|9|2|RR|41.75
34|10/17/20|7:30:00|Sharjah|DC|CSK|DC|CSK|5 wickets|2|9|2|CSK|49.97
38|10/20/20|7:30:00|Dubai|KXIP|DC|KXIP|DC|5 wickets|35|8.5|2|DC|43.14
42|10/24/20|3:30:00|Abu Dhabi|KKR|DC|KKR|DC|59 runs|14|8.5|2|DC|41.73
47|10/27/20|7:30:00|Dubai|SRH|DC|SRH|DC|88 runs|31|8.5|2|DC|36.63
