MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
2|9/20/20|7:30:00|Dubai|DC|KXIP|DC|KXIP|2 wickets)|2|10|1|DC|70.46
7|9/25/20|7:30:00|Dubai|CSK|DC|DC|CSK|44 runs|44|10|1|DC|60.29
11|9/29/20|7:30:00|Abu Dhabi|DC|SRH|SRH|DC|15 runs|42|10|1|SRH|38.29
16|10/3/20|7:30:00|Sharjah|DC|KKR|DC|KKR|18 runs|44|10|1|KKR|43.27
19|10/5/20|7:30:00|Dubai|RCB|DC|DC|RCB|59 runs|47|10|1|DC|36.46
23|10/9/20|7:30:00|Sharjah|RR|DC|DC|RR|46 runs|18|9.5|1|DC|49.25
27|10/11/20|7:30:00|Abu Dhabi|MI|DC|MI|DC|5 wickets|89|9|1|DC|35.18
30|10/14/20|7:30:00|Dubai|DC|RR|DC|RR|13 runs|79|9|1|RR|53.91
34|10/17/20|7:30:00|Sharjah|DC|CSK|DC|CSK|5 wickets|145|9.5|1|CSK|67.51
38|10/20/20|7:30:00|Dubai|KXIP|DC|KXIP|DC|5 wickets|144|10|1|DC|62.76
2|9/20/20|7:30:00|Dubai|DC|KXIP|DC|KXIP|2 wickets)|2|10|1|DC|70.46
7|9/25/20|7:30:00|Dubai|CSK|DC|DC|CSK|44 runs|44|10|1|DC|60.29
11|9/29/20|7:30:00|Abu Dhabi|DC|SRH|SRH|DC|15 runs|42|10|1|SRH|38.29
16|10/3/20|7:30:00|Sharjah|DC|KKR|DC|KKR|18 runs|44|10|1|KKR|43.27
19|10/5/20|7:30:00|Dubai|RCB|DC|DC|RCB|59 runs|47|10|1|DC|36.46
23|10/9/20|7:30:00|Sharjah|RR|DC|DC|RR|46 runs|18|9.5|1|DC|49.25
27|10/11/20|7:30:00|Abu Dhabi|MI|DC|MI|DC|5 wickets|89|9|1|DC|35.18
30|10/14/20|7:30:00|Dubai|DC|RR|DC|RR|13 runs|79|9|1|RR|53.91
34|10/17/20|7:30:00|Sharjah|DC|CSK|DC|CSK|5 wickets|145|9.5|1|CSK|67.51
38|10/20/20|7:30:00|Dubai|KXIP|DC|KXIP|DC|5 wickets|144|10|1|DC|62.76
42|10/24/20|3:30:00|Abu Dhabi|KKR|DC|KKR|DC|59 runs|11|10.5|1|DC|84.65
47|10/27/20|7:30:00|Dubai|SRH|DC|SRH|DC|88 runs|2|10.5|1|DC|68.42
