MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
24|10/10/20|3:30:00|Abu Dhabi|KXIP|KKR|KKR|KXIP|2 runs|79|8|2|KKR|12.62
28|10/12/20|7:30:00|Sharjah|RCB|KKR|RCB|KKR|82 runs|27|8|2|KKR|28.89
32|10/16/20|7:30:00|Abu Dhabi|MI|KKR|MI|KKR|8 wickets|-2|8|2|KKR|23.37
39|10/21/20|7:30:00|Abu Dhabi|KKR|RCB|RCB|KKR|8 wickets|4|8|2|RCB|19.9
24|10/10/20|3:30:00|Abu Dhabi|KXIP|KKR|KKR|KXIP|2 runs|79|8|2|KKR|12.62
28|10/12/20|7:30:00|Sharjah|RCB|KKR|RCB|KKR|82 runs|27|8|2|KKR|28.89
32|10/16/20|7:30:00|Abu Dhabi|MI|KKR|MI|KKR|8 wickets|-2|8|2|KKR|23.37
39|10/21/20|7:30:00|Abu Dhabi|KKR|RCB|RCB|KKR|8 wickets|4|8|2|RCB|19.9
42|10/24/20|3:30:00|Abu Dhabi|KKR|DC|KKR|DC|59 runs|2|8|2|DC|11.94
46|10/26/20|7:30:00|Sharjah|KKR|KXIP|KXIP|KKR|8 wickets|12|8|2|KXIP|8.14
