MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
3|9/21/20|7:30:00|Dubai|SRH|RCB|RCB|SRH|10 runs|49|9|1|SRH|56.3
8|9/26/20|7:30:00|Abu Dhabi|KKR|SRH|KKR|SRH|7 wickets|70|9|1|SRH|78.39
11|9/29/20|7:30:00|Abu Dhabi|DC|SRH|SRH|DC|15 runs|15|9|1|SRH|73.21
14|10/2/20|7:30:00|Dubai|CSK|SRH|SRH|CSK|7 runs|38|9|1|SRH|56.87
17|10/4/20|3:30:00|Sharjah|MI|SRH|MI|SRH|34 runs|48|9|1|SRH|67.71
22|10/8/20|7:30:00|Dubai|SRH|KXIP|SRH|KXIP|69 runs|5|9|1|KXIP|72.29
26|10/11/20|3:30:00|Dubai|SRH|RR|RR|SRH|5 wickets|74|9|1|RR|67.03
29|10/13/20|7:30:00|Dubai|SRH|CSK|CSK|SRH|20 runs|17|9|1|CSK|63.75
35|10/18/20|3:30:00|Abu Dhabi|SRH|KKR|KKR|SRH|2 wickets)|18|9|1|KKR|62.46
3|9/21/20|7:30:00|Dubai|SRH|RCB|RCB|SRH|10 runs|49|9|1|SRH|56.3
8|9/26/20|7:30:00|Abu Dhabi|KKR|SRH|KKR|SRH|7 wickets|70|9|1|SRH|78.39
11|9/29/20|7:30:00|Abu Dhabi|DC|SRH|SRH|DC|15 runs|15|9|1|SRH|73.21
14|10/2/20|7:30:00|Dubai|CSK|SRH|SRH|CSK|7 runs|38|9|1|SRH|56.87
17|10/4/20|3:30:00|Sharjah|MI|SRH|MI|SRH|34 runs|48|9|1|SRH|67.71
22|10/8/20|7:30:00|Dubai|SRH|KXIP|SRH|KXIP|69 runs|5|9|1|KXIP|72.29
26|10/11/20|3:30:00|Dubai|SRH|RR|RR|SRH|5 wickets|74|9|1|RR|67.03
29|10/13/20|7:30:00|Dubai|SRH|CSK|CSK|SRH|20 runs|17|9|1|CSK|63.75
35|10/18/20|3:30:00|Abu Dhabi|SRH|KKR|KKR|SRH|2 wickets)|18|9|1|KKR|62.46
40|10/22/20|7:30:00|Dubai|RR|SRH|SRH|RR|8 wickets|123|9|1|SRH|65.14
43|10/24/20|7:30:00|Dubai|KXIP|SRH|KXIP|SRH|12 runs|15|9|1|SRH|84.13
47|10/27/20|7:30:00|Dubai|SRH|DC|SRH|DC|88 runs|54|9|1|DC|68.03
