MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
1|9/19/20|7:30:00|Abu Dhabi|MI|CSK|CSK|MI|5 wickets|18|10.5|1|MI|80.67
5|9/23/20|7:30:00|Abu Dhabi|KKR|MI|MI|KKR|49 runs|107|10.5|1|MI|67.52
10|9/28/20|7:30:00|Dubai|RCB|MI|RCB|MI|2 wickets)|22|10.5|1|MI|78.01
13|10/1/20|7:30:00|Abu Dhabi|KXIP|MI|MI|KXIP|48 runs|96|10.5|1|MI|85.03
17|10/4/20|3:30:00|Sharjah|MI|SRH|MI|SRH|34 runs|20|10.5|1|SRH|82.09
20|10/6/20|7:30:00|Abu Dhabi|MI|RR|MI|RR|57 runs|63|10.5|1|RR|86.76
27|10/11/20|7:30:00|Abu Dhabi|MI|DC|MI|DC|5 wickets|3|10.5|1|DC|77.42
32|10/16/20|7:30:00|Abu Dhabi|MI|KKR|MI|KKR|8 wickets|46|10.5|1|KKR|79.94
36|10/18/20|7:30:00|Dubai|MI|KXIP|KXIP|MI|2 wickets)|23|10.5|1|KXIP|70.64
1|9/19/20|7:30:00|Abu Dhabi|MI|CSK|CSK|MI|5 wickets|18|10.5|1|MI|80.67
5|9/23/20|7:30:00|Abu Dhabi|KKR|MI|MI|KKR|49 runs|107|10.5|1|MI|67.52
10|9/28/20|7:30:00|Dubai|RCB|MI|RCB|MI|2 wickets)|22|10.5|1|MI|78.01
13|10/1/20|7:30:00|Abu Dhabi|KXIP|MI|MI|KXIP|48 runs|96|10.5|1|MI|85.03
17|10/4/20|3:30:00|Sharjah|MI|SRH|MI|SRH|34 runs|20|10.5|1|SRH|82.09
20|10/6/20|7:30:00|Abu Dhabi|MI|RR|MI|RR|57 runs|63|10.5|1|RR|86.76
27|10/11/20|7:30:00|Abu Dhabi|MI|DC|MI|DC|5 wickets|3|10.5|1|DC|77.42
32|10/16/20|7:30:00|Abu Dhabi|MI|KKR|MI|KKR|8 wickets|46|10.5|1|KKR|79.94
36|10/18/20|7:30:00|Dubai|MI|KXIP|KXIP|MI|2 wickets)|23|10.5|1|KXIP|70.64
