MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
1|9/19/20|7:30:00|Abu Dhabi|MI|CSK|CSK|MI|5 wickets|4|8.5|1|CSK|18.37
4|9/22/20|7:30:00|Sharjah|RR|CSK|RR|CSK|16 runs|43|8.5|1|CSK|11.16
7|9/25/20|7:30:00|Dubai|CSK|DC|DC|CSK|44 runs|33|8.5|1|CSK|10.96
14|10/2/20|7:30:00|Dubai|CSK|SRH|SRH|CSK|7 runs|1|8.5|1|SRH|10.41
18|10/4/20|7:30:00|Dubai|KXIP|CSK|CSK|KXIP|10 wickets|4|8|1|CSK|12.19
21|10/7/20|7:30:00|Abu Dhabi|KKR|CSK|KKR|CSK|10 runs|8|8|1|CSK|5.98
34|10/17/20|7:30:00|Sharjah|DC|CSK|DC|CSK|5 wickets|4|8|1|CSK|4.51
37|10/19/20|7:30:00|Abu Dhabi|CSK|RR|RR|CSK|7 wickets|8|8|1|RR|2.23
1|9/19/20|7:30:00|Abu Dhabi|MI|CSK|CSK|MI|5 wickets|4|8.5|1|CSK|18.37
4|9/22/20|7:30:00|Sharjah|RR|CSK|RR|CSK|16 runs|43|8.5|1|CSK|11.16
7|9/25/20|7:30:00|Dubai|CSK|DC|DC|CSK|44 runs|33|8.5|1|CSK|10.96
14|10/2/20|7:30:00|Dubai|CSK|SRH|SRH|CSK|7 runs|1|8.5|1|SRH|10.41
18|10/4/20|7:30:00|Dubai|KXIP|CSK|CSK|KXIP|10 wickets|4|8|1|CSK|12.19
21|10/7/20|7:30:00|Abu Dhabi|KKR|CSK|KKR|CSK|10 runs|8|8|1|CSK|5.98
34|10/17/20|7:30:00|Sharjah|DC|CSK|DC|CSK|5 wickets|4|8|1|CSK|4.51
37|10/19/20|7:30:00|Abu Dhabi|CSK|RR|RR|CSK|7 wickets|8|8|1|RR|2.23
