MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
10|9/28/20|7:30:00|Dubai|RCB|MI|RCB|MI|2 wickets)|48|8|2|MI|18.6
15|10/3/20|3:30:00|Abu Dhabi|RCB|RR|RCB|RR|8 wickets|58|8|2|RR|36.08
19|10/5/20|7:30:00|Dubai|RCB|DC|DC|RCB|59 runs|28|8.5|2|DC|28.92
25|10/10/20|7:30:00|Dubai|CSK|RCB|RCB|CSK|37 runs|29|8.5|2|RCB|33.73
28|10/12/20|7:30:00|Sharjah|RCB|KKR|RCB|KKR|82 runs|41|8.5|2|KKR|34.8
31|10/15/20|7:30:00|Sharjah|RCB|KXIP|KXIP|RCB|8 wickets|16|8.5|2|KXIP|31.86
33|10/17/20|3:30:00|Dubai|RR|RCB|RCB|RR|7 wickets|-2|8.5|2|RCB|34.9
39|10/21/20|7:30:00|Abu Dhabi|KKR|RCB|RCB|KKR|8 wickets|4|8|2|RCB|35.19
10|9/28/20|7:30:00|Dubai|RCB|MI|RCB|MI|2 wickets)|48|8|2|MI|18.6
15|10/3/20|3:30:00|Abu Dhabi|RCB|RR|RCB|RR|8 wickets|58|8|2|RR|36.08
19|10/5/20|7:30:00|Dubai|RCB|DC|DC|RCB|59 runs|28|8.5|2|DC|28.92
25|10/10/20|7:30:00|Dubai|CSK|RCB|RCB|CSK|37 runs|29|8.5|2|RCB|33.73
28|10/12/20|7:30:00|Sharjah|RCB|KKR|RCB|KKR|82 runs|41|8.5|2|KKR|34.8
31|10/15/20|7:30:00|Sharjah|RCB|KXIP|KXIP|RCB|8 wickets|16|8.5|2|KXIP|31.86
33|10/17/20|3:30:00|Dubai|RR|RCB|RCB|RR|7 wickets|-2|8.5|2|RCB|34.9
39|10/21/20|7:30:00|Abu Dhabi|KKR|RCB|RCB|KKR|8 wickets|4|8|2|RCB|35.19
