MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
3|9/21/20|7:30:00|Dubai|SRH|RCB|RCB|SRH|10 runs|62|8.5|2|RCB|41.46
6|9/24/20|7:30:00|Dubai|KXIP|RCB|KXIP|RCB|97 runs|9|8.5|2|RCB|61.09
10|9/28/20|7:30:00|Dubai|RCB|MI|RCB|MI|2 wickets)|0|8.5|2|MI|40.27
15|10/3/20|3:30:00|Abu Dhabi|RCB|RR|RCB|RR|8 wickets|35|8.5|2|RR|50.84
19|10/5/20|7:30:00|Dubai|RCB|DC|DC|RCB|59 runs|11|8.5|2|DC|48.46
25|10/10/20|7:30:00|Dubai|CSK|RCB|RCB|CSK|37 runs|8|8.5|2|RCB|42.63
28|10/12/20|7:30:00|Sharjah|RCB|KKR|RCB|KKR|82 runs|31|8.5|2|KKR|38.94
31|10/15/20|7:30:00|Sharjah|RCB|KXIP|KXIP|RCB|8 wickets|6|8.5|2|KXIP|38.31
33|10/17/20|3:30:00|Dubai|RR|RCB|RCB|RR|7 wickets|12|8.5|2|RCB|34.01
39|10/21/20|7:30:00|Abu Dhabi|KKR|RCB|RCB|KKR|8 wickets|29|8.5|2|RCB|33.69
3|9/21/20|7:30:00|Dubai|SRH|RCB|RCB|SRH|10 runs|62|8.5|2|RCB|41.46
6|9/24/20|7:30:00|Dubai|KXIP|RCB|KXIP|RCB|97 runs|9|8.5|2|RCB|61.09
10|9/28/20|7:30:00|Dubai|RCB|MI|RCB|MI|2 wickets)|0|8.5|2|MI|40.27
15|10/3/20|3:30:00|Abu Dhabi|RCB|RR|RCB|RR|8 wickets|35|8.5|2|RR|50.84
19|10/5/20|7:30:00|Dubai|RCB|DC|DC|RCB|59 runs|11|8.5|2|DC|48.46
25|10/10/20|7:30:00|Dubai|CSK|RCB|RCB|CSK|37 runs|8|8.5|2|RCB|42.63
28|10/12/20|7:30:00|Sharjah|RCB|KKR|RCB|KKR|82 runs|31|8.5|2|KKR|38.94
31|10/15/20|7:30:00|Sharjah|RCB|KXIP|KXIP|RCB|8 wickets|6|8.5|2|KXIP|38.31
33|10/17/20|3:30:00|Dubai|RR|RCB|RCB|RR|7 wickets|12|8.5|2|RCB|34.01
39|10/21/20|7:30:00|Abu Dhabi|KKR|RCB|RCB|KKR|8 wickets|29|8.5|2|RCB|33.69
44|10/25/20|3:30:00|Dubai|RCB|CSK|CSK|RCB|8 wickets|4|8.5|2|CSK|37.58
