MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
4|9/22/20|7:30:00|Sharjah|RR|CSK|RR|CSK|16 runs|93|9.5|1|RR|73.99
9|9/27/20|7:30:00|Sharjah|RR|KXIP|RR|KXIP|4 wickets|73|10|1|RR|86.42
12|9/30/20|7:30:00|Dubai|RR|KKR|KKR|RR|37 runs|7|10|1|KKR|89.98
15|10/3/20|3:30:00|Abu Dhabi|RCB|RR|RCB|RR|8 wickets|10|10|1|RR|83.76
20|10/6/20|7:30:00|Abu Dhabi|MI|RR|MI|RR|57 runs|11|10|1|RR|85.87
23|10/9/20|7:30:00|Sharjah|RR|DC|DC|RR|46 runs|40|9.5|1|DC|78.98
26|10/11/20|3:30:00|Dubai|SRH|RR|RR|SRH|5 wickets|9|9.5|1|RR|72.07
30|10/14/20|7:30:00|Dubai|DC|RR|DC|RR|13 runs|5|9.5|1|RR|71.7
33|10/17/20|3:30:00|Dubai|RR|RCB|RCB|RR|7 wickets|77|9|1|RCB|63.56
37|10/19/20|7:30:00|Abu Dhabi|CSK|RR|RR|CSK|7 wickets|32|9|1|RR|72.75
50|10/30/20|7:30:00|Abu Dhabi|KXIP|RR|RR|KXIP|7 wickets|40|9|1|RR|73.57
4|9/22/20|7:30:00|Sharjah|RR|CSK|RR|CSK|16 runs|93|9.5|1|RR|73.99
9|9/27/20|7:30:00|Sharjah|RR|KXIP|RR|KXIP|4 wickets|73|10|1|RR|86.42
12|9/30/20|7:30:00|Dubai|RR|KKR|KKR|RR|37 runs|7|10|1|KKR|89.98
15|10/3/20|3:30:00|Abu Dhabi|RCB|RR|RCB|RR|8 wickets|10|10|1|RR|83.76
20|10/6/20|7:30:00|Abu Dhabi|MI|RR|MI|RR|57 runs|11|10|1|RR|85.87
23|10/9/20|7:30:00|Sharjah|RR|DC|DC|RR|46 runs|40|9.5|1|DC|78.98
26|10/11/20|3:30:00|Dubai|SRH|RR|RR|SRH|5 wickets|9|9.5|1|RR|72.07
30|10/14/20|7:30:00|Dubai|DC|RR|DC|RR|13 runs|5|9.5|1|RR|71.7
33|10/17/20|3:30:00|Dubai|RR|RCB|RCB|RR|7 wickets|77|9|1|RCB|63.56
37|10/19/20|7:30:00|Abu Dhabi|CSK|RR|RR|CSK|7 wickets|32|9|1|RR|72.75
40|10/22/20|7:30:00|Dubai|RR|SRH|SRH|RR|8 wickets|25|9|1|SRH|75.46
45|10/25/20|7:30:00|Abu Dhabi|RR|MI|RR|MI|8 wickets|18|9|1|MI|81.86
50|10/30/20|7:30:00|Abu Dhabi|KXIP|RR|RR|KXIP|7 wickets|40|9|1|RR|73.57
