MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
9|9/27/20|7:30:00|Sharjah|RR|KXIP|RR|KXIP|4 wickets|8|10.5|3|RR|53.3
12|9/30/20|7:30:00|Dubai|RR|KKR|KKR|RR|37 runs|38|10.5|3|KKR|56.3
15|10/3/20|3:30:00|Abu Dhabi|RCB|RR|RCB|RR|8 wickets|31|10.5|3|RR|49.73
20|10/6/20|7:30:00|Abu Dhabi|MI|RR|MI|RR|57 runs|104|10|3|RR|50.33
23|10/9/20|7:30:00|Sharjah|RR|DC|DC|RR|46 runs|27|10|3|DC|76.28
26|10/11/20|3:30:00|Dubai|SRH|RR|RR|SRH|5 wickets|29|10|3|RR|61.11
30|10/14/20|7:30:00|Dubai|DC|RR|DC|RR|13 runs|31|10|3|RR|73.65
33|10/17/20|3:30:00|Dubai|RR|RCB|RCB|RR|7 wickets|31|9.5|3|RCB|65.13
37|10/19/20|7:30:00|Abu Dhabi|CSK|RR|RR|CSK|7 wickets|109|9.5|3|RR|66.95
50|10/30/20|7:30:00|Abu Dhabi|KXIP|RR|RR|KXIP|7 wickets|31|9|3|RR|55.43
9|9/27/20|7:30:00|Sharjah|RR|KXIP|RR|KXIP|4 wickets|8|10.5|3|RR|53.3
12|9/30/20|7:30:00|Dubai|RR|KKR|KKR|RR|37 runs|38|10.5|3|KKR|56.3
15|10/3/20|3:30:00|Abu Dhabi|RCB|RR|RCB|RR|8 wickets|31|10.5|3|RR|49.73
20|10/6/20|7:30:00|Abu Dhabi|MI|RR|MI|RR|57 runs|104|10|3|RR|50.33
23|10/9/20|7:30:00|Sharjah|RR|DC|DC|RR|46 runs|27|10|3|DC|76.28
26|10/11/20|3:30:00|Dubai|SRH|RR|RR|SRH|5 wickets|29|10|3|RR|61.11
30|10/14/20|7:30:00|Dubai|DC|RR|DC|RR|13 runs|31|10|3|RR|73.65
33|10/17/20|3:30:00|Dubai|RR|RCB|RCB|RR|7 wickets|31|9.5|3|RCB|65.13
37|10/19/20|7:30:00|Abu Dhabi|CSK|RR|RR|CSK|7 wickets|109|9.5|3|RR|66.95
40|10/22/20|7:30:00|Dubai|RR|SRH|SRH|RR|8 wickets|13|9.5|3|SRH|69.31
45|10/25/20|7:30:00|Abu Dhabi|RR|MI|RR|MI|8 wickets|4|9.5|3|MI|67.22
50|10/30/20|7:30:00|Abu Dhabi|KXIP|RR|RR|KXIP|7 wickets|31|9|3|RR|55.43
