MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
16|10/3/20|7:30:00|Sharjah|DC|KKR|DC|KKR|18 runs|49|8|1|KKR|11.09
21|10/7/20|7:30:00|Abu Dhabi|KKR|CSK|KKR|CSK|10 runs|107|8|1|CSK|17.33
24|10/10/20|3:30:00|Abu Dhabi|KXIP|KKR|KKR|KXIP|2 runs|3|8|1|KKR|73.08
28|10/12/20|7:30:00|Sharjah|RCB|KKR|RCB|KKR|82 runs|21|8.5|1|KKR|47.22
32|10/16/20|7:30:00|Abu Dhabi|MI|KKR|MI|KKR|8 wickets|12|8.5|1|KKR|41.3
35|10/18/20|3:30:00|Abu Dhabi|SRH|KKR|KKR|SRH|2 wickets)|31|8.5|1|KKR|51.69
39|10/21/20|7:30:00|Abu Dhabi|KKR|RCB|RCB|KKR|8 wickets|5|8.5|1|RCB|42.53
16|10/3/20|7:30:00|Sharjah|DC|KKR|DC|KKR|18 runs|49|8|1|KKR|11.09
21|10/7/20|7:30:00|Abu Dhabi|KKR|CSK|KKR|CSK|10 runs|107|8|1|CSK|17.33
24|10/10/20|3:30:00|Abu Dhabi|KXIP|KKR|KKR|KXIP|2 runs|3|8|1|KKR|73.08
28|10/12/20|7:30:00|Sharjah|RCB|KKR|RCB|KKR|82 runs|21|8.5|1|KKR|47.22
32|10/16/20|7:30:00|Abu Dhabi|MI|KKR|MI|KKR|8 wickets|12|8.5|1|KKR|41.3
35|10/18/20|3:30:00|Abu Dhabi|SRH|KKR|KKR|SRH|2 wickets)|31|8.5|1|KKR|51.69
39|10/21/20|7:30:00|Abu Dhabi|KKR|RCB|RCB|KKR|8 wickets|5|8.5|1|RCB|42.53
42|10/24/20|3:30:00|Abu Dhabi|KKR|DC|KKR|DC|59 runs|42|8.5|1|DC|33.06
46|10/26/20|7:30:00|Sharjah|KKR|KXIP|KXIP|KKR|8 wickets|13|8|1|KXIP|39.66
49|10/29/20|7:30:00|Dubai|CSK|KKR|CSK|KKR|6 wickets|7|8|1|KKR|29.83
