MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
19|10/5/20|7:30:00|Dubai|RCB|DC|DC|RCB|59 runs|60|8|2|DC|8.26
28|10/12/20|7:30:00|Sharjah|RCB|KKR|RCB|KKR|82 runs|37|8|2|KKR|9.92
31|10/15/20|7:30:00|Sharjah|RCB|KXIP|KXIP|RCB|8 wickets|-2|8|2|KXIP|27.46
39|10/21/20|7:30:00|Abu Dhabi|KKR|RCB|RCB|KKR|8 wickets|101|8|2|RCB|8.48
19|10/5/20|7:30:00|Dubai|RCB|DC|DC|RCB|59 runs|60|8|2|DC|8.26
28|10/12/20|7:30:00|Sharjah|RCB|KKR|RCB|KKR|82 runs|37|8|2|KKR|9.92
31|10/15/20|7:30:00|Sharjah|RCB|KXIP|KXIP|RCB|8 wickets|-2|8|2|KXIP|27.46
39|10/21/20|7:30:00|Abu Dhabi|KKR|RCB|RCB|KKR|8 wickets|101|8|2|RCB|8.48
44|10/25/20|3:30:00|Dubai|RCB|CSK|CSK|RCB|8 wickets|6|8|2|CSK|54.08
48|10/28/20|7:30:00|Abu Dhabi|MI|RCB|MI|RCB|5 wickets|62|8|2|RCB|31.75
