MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
6|9/24/20|7:30:00|Dubai|KXIP|RCB|KXIP|RCB|97 runs|79|8|2|KXIP|11.36
9|9/27/20|7:30:00|Sharjah|RR|KXIP|RR|KXIP|4 wickets|29|8|2|KXIP|25.68
31|10/15/20|7:30:00|Sharjah|RCB|KXIP|KXIP|RCB|8 wickets|56|8|2|KXIP|26.99
36|10/18/20|7:30:00|Dubai|MI|KXIP|KXIP|MI|2 wickets)|18|8|2|KXIP|40.87
38|10/20/20|7:30:00|Dubai|KXIP|DC|KXIP|DC|5 wickets|29|8|2|DC|33.13
50|10/30/20|7:30:00|Abu Dhabi|KXIP|RR|RR|KXIP|7 wickets|25|8.5|2|RR|25.52
6|9/24/20|7:30:00|Dubai|KXIP|RCB|KXIP|RCB|97 runs|79|8|2|KXIP|11.36
9|9/27/20|7:30:00|Sharjah|RR|KXIP|RR|KXIP|4 wickets|29|8|2|KXIP|25.68
31|10/15/20|7:30:00|Sharjah|RCB|KXIP|KXIP|RCB|8 wickets|56|8|2|KXIP|26.99
36|10/18/20|7:30:00|Dubai|MI|KXIP|KXIP|MI|2 wickets)|18|8|2|KXIP|40.87
38|10/20/20|7:30:00|Dubai|KXIP|DC|KXIP|DC|5 wickets|29|8|2|DC|33.13
43|10/24/20|7:30:00|Dubai|KXIP|SRH|KXIP|SRH|12 runs|41|8.5|2|SRH|26.92
46|10/26/20|7:30:00|Sharjah|KKR|KXIP|KXIP|KKR|8 wickets|37|8.5|2|KXIP|29.96
50|10/30/20|7:30:00|Abu Dhabi|KXIP|RR|RR|KXIP|7 wickets|25|8.5|2|RR|25.52
