MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
5|9/23/20|7:30:00|Abu Dhabi|KKR|MI|MI|KKR|49 runs|48|10|4|KKR|57.39
8|9/26/20|7:30:00|Abu Dhabi|KKR|SRH|KKR|SRH|7 wickets|2|10|4|KKR|62.94
12|9/30/20|7:30:00|Dubai|RR|KKR|KKR|RR|37 runs|54|10|4|KKR|46.78
16|10/3/20|7:30:00|Sharjah|DC|KKR|DC|KKR|18 runs|1|9.5|4|KKR|47.8
21|10/7/20|7:30:00|Abu Dhabi|KKR|CSK|KKR|CSK|10 runs|49|9|4|CSK|30.53
24|10/10/20|3:30:00|Abu Dhabi|KXIP|KKR|KKR|KXIP|2 runs|54|9|4|KKR|52.81
5|9/23/20|7:30:00|Abu Dhabi|KKR|MI|MI|KKR|49 runs|48|10|4|KKR|57.39
8|9/26/20|7:30:00|Abu Dhabi|KKR|SRH|KKR|SRH|7 wickets|2|10|4|KKR|62.94
12|9/30/20|7:30:00|Dubai|RR|KKR|KKR|RR|37 runs|54|10|4|KKR|46.78
16|10/3/20|7:30:00|Sharjah|DC|KKR|DC|KKR|18 runs|1|9.5|4|KKR|47.8
21|10/7/20|7:30:00|Abu Dhabi|KKR|CSK|KKR|CSK|10 runs|49|9|4|CSK|30.53
24|10/10/20|3:30:00|Abu Dhabi|KXIP|KKR|KKR|KXIP|2 runs|54|9|4|KKR|52.81
42|10/24/20|3:30:00|Abu Dhabi|KKR|DC|KKR|DC|59 runs|88|9|4|DC|41.32
46|10/26/20|7:30:00|Sharjah|KKR|KXIP|KXIP|KKR|8 wickets|11|9.5|4|KXIP|83.36
49|10/29/20|7:30:00|Dubai|CSK|KKR|CSK|KKR|6 wickets|23|9.5|4|KKR|62.49
