MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
2|9/20/20|7:30:00|Dubai|DC|KXIP|DC|KXIP|2 wickets)|47|9.5|3|DC|68.86
7|9/25/20|7:30:00|Dubai|CSK|DC|DC|CSK|44 runs|68|9.5|3|DC|77.94
11|9/29/20|7:30:00|Abu Dhabi|DC|SRH|SRH|DC|15 runs|45|9.5|3|SRH|75.34
16|10/3/20|7:30:00|Sharjah|DC|KKR|DC|KKR|18 runs|57|9.5|3|KKR|87.33
19|10/5/20|7:30:00|Dubai|RCB|DC|DC|RCB|59 runs|64|9.5|3|DC|73.9
23|10/9/20|7:30:00|Sharjah|RR|DC|DC|RR|46 runs|17|9.5|3|DC|70.13
38|10/20/20|7:30:00|Dubai|KXIP|DC|KXIP|DC|5 wickets|39|9.5|3|DC|33.19
2|9/20/20|7:30:00|Dubai|DC|KXIP|DC|KXIP|2 wickets)|47|9.5|3|DC|68.86
7|9/25/20|7:30:00|Dubai|CSK|DC|DC|CSK|44 runs|68|9.5|3|DC|77.94
11|9/29/20|7:30:00|Abu Dhabi|DC|SRH|SRH|DC|15 runs|45|9.5|3|SRH|75.34
16|10/3/20|7:30:00|Sharjah|DC|KKR|DC|KKR|18 runs|57|9.5|3|KKR|87.33
19|10/5/20|7:30:00|Dubai|RCB|DC|DC|RCB|59 runs|64|9.5|3|DC|73.9
23|10/9/20|7:30:00|Sharjah|RR|DC|DC|RR|46 runs|17|9.5|3|DC|70.13
38|10/20/20|7:30:00|Dubai|KXIP|DC|KXIP|DC|5 wickets|39|9.5|3|DC|33.19
42|10/24/20|3:30:00|Abu Dhabi|KKR|DC|KKR|DC|59 runs|43|9|3|DC|74.1
47|10/27/20|7:30:00|Dubai|SRH|DC|SRH|DC|88 runs|45|9|3|DC|72.36
