MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
3|9/21/20|7:30:00|Dubai|SRH|RCB|RCB|SRH|10 runs|38|9|1|RCB|50.08
6|9/24/20|7:30:00|Dubai|KXIP|RCB|KXIP|RCB|97 runs|35|9|1|RCB|53.59
10|9/28/20|7:30:00|Dubai|RCB|MI|RCB|MI|2 wickets)|73|9|1|MI|49
15|10/3/20|3:30:00|Abu Dhabi|RCB|RR|RCB|RR|8 wickets|22|9|1|RR|70.09
19|10/5/20|7:30:00|Dubai|RCB|DC|DC|RCB|59 runs|18|9|1|DC|51.97
25|10/10/20|7:30:00|Dubai|CSK|RCB|RCB|CSK|37 runs|6|9|1|RCB|48.12
28|10/12/20|7:30:00|Sharjah|RCB|KKR|RCB|KKR|82 runs|57|9|1|KKR|43.1
31|10/15/20|7:30:00|Sharjah|RCB|KXIP|KXIP|RCB|8 wickets|28|9|1|KXIP|51.37
33|10/17/20|3:30:00|Dubai|RR|RCB|RCB|RR|7 wickets|30|9|1|RCB|52.35
39|10/21/20|7:30:00|Abu Dhabi|KKR|RCB|RCB|KKR|8 wickets|22|9|1|RCB|44.89
3|9/21/20|7:30:00|Dubai|SRH|RCB|RCB|SRH|10 runs|38|9|1|RCB|50.08
6|9/24/20|7:30:00|Dubai|KXIP|RCB|KXIP|RCB|97 runs|35|9|1|RCB|53.59
10|9/28/20|7:30:00|Dubai|RCB|MI|RCB|MI|2 wickets)|73|9|1|MI|49
15|10/3/20|3:30:00|Abu Dhabi|RCB|RR|RCB|RR|8 wickets|22|9|1|RR|70.09
19|10/5/20|7:30:00|Dubai|RCB|DC|DC|RCB|59 runs|18|9|1|DC|51.97
25|10/10/20|7:30:00|Dubai|CSK|RCB|RCB|CSK|37 runs|6|9|1|RCB|48.12
28|10/12/20|7:30:00|Sharjah|RCB|KKR|RCB|KKR|82 runs|57|9|1|KKR|43.1
31|10/15/20|7:30:00|Sharjah|RCB|KXIP|KXIP|RCB|8 wickets|28|9|1|KXIP|51.37
33|10/17/20|3:30:00|Dubai|RR|RCB|RCB|RR|7 wickets|30|9|1|RCB|52.35
39|10/21/20|7:30:00|Abu Dhabi|KKR|RCB|RCB|KKR|8 wickets|22|9|1|RCB|44.89
44|10/25/20|3:30:00|Dubai|RCB|CSK|CSK|RCB|8 wickets|22|8.5|1|CSK|49.6
