MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
3|9/21/20|7:30:00|Dubai|SRH|RCB|RCB|SRH|10 runs|4|8|4|RCB|44.93
6|9/24/20|7:30:00|Dubai|KXIP|RCB|KXIP|RCB|97 runs|38|8|4|RCB|22.19
10|9/28/20|7:30:00|Dubai|RCB|MI|RCB|MI|2 wickets)|35|8|4|MI|23.83
15|10/3/20|3:30:00|Abu Dhabi|RCB|RR|RCB|RR|8 wickets|6|8|4|RR|49.12
19|10/5/20|7:30:00|Dubai|RCB|DC|DC|RCB|59 runs|26|8|4|DC|32.92
25|10/10/20|7:30:00|Dubai|CSK|RCB|RCB|CSK|37 runs|68|8|4|RCB|28.6
28|10/12/20|7:30:00|Sharjah|RCB|KKR|RCB|KKR|82 runs|56|8|4|KKR|33.3
31|10/15/20|7:30:00|Sharjah|RCB|KXIP|KXIP|RCB|8 wickets|16|8.5|4|KXIP|65.12
33|10/17/20|3:30:00|Dubai|RR|RCB|RCB|RR|7 wickets|4|8.5|4|RCB|44.85
39|10/21/20|7:30:00|Abu Dhabi|KKR|RCB|RCB|KKR|8 wickets|43|8.5|4|RCB|53.69
3|9/21/20|7:30:00|Dubai|SRH|RCB|RCB|SRH|10 runs|4|8|4|RCB|44.93
6|9/24/20|7:30:00|Dubai|KXIP|RCB|KXIP|RCB|97 runs|38|8|4|RCB|22.19
10|9/28/20|7:30:00|Dubai|RCB|MI|RCB|MI|2 wickets)|35|8|4|MI|23.83
15|10/3/20|3:30:00|Abu Dhabi|RCB|RR|RCB|RR|8 wickets|6|8|4|RR|49.12
19|10/5/20|7:30:00|Dubai|RCB|DC|DC|RCB|59 runs|26|8|4|DC|32.92
25|10/10/20|7:30:00|Dubai|CSK|RCB|RCB|CSK|37 runs|68|8|4|RCB|28.6
28|10/12/20|7:30:00|Sharjah|RCB|KKR|RCB|KKR|82 runs|56|8|4|KKR|33.3
31|10/15/20|7:30:00|Sharjah|RCB|KXIP|KXIP|RCB|8 wickets|16|8.5|4|KXIP|65.12
33|10/17/20|3:30:00|Dubai|RR|RCB|RCB|RR|7 wickets|4|8.5|4|RCB|44.85
39|10/21/20|7:30:00|Abu Dhabi|KKR|RCB|RCB|KKR|8 wickets|43|8.5|4|RCB|53.69
44|10/25/20|3:30:00|Dubai|RCB|CSK|CSK|RCB|8 wickets|10|8.5|4|CSK|35.18
48|10/28/20|7:30:00|Abu Dhabi|MI|RCB|MI|RCB|5 wickets|17|8.5|4|RCB|35.12
