MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
3|9/21/20|7:30:00|Dubai|SRH|RCB|RCB|SRH|10 runs|63|8|4|RCB|32.9
6|9/24/20|7:30:00|Dubai|KXIP|RCB|KXIP|RCB|97 runs|64|8|4|RCB|52.88
10|9/28/20|7:30:00|Dubai|RCB|MI|RCB|MI|2 wickets)|38|8.5|4|MI|57.62
15|10/3/20|3:30:00|Abu Dhabi|RCB|RR|RCB|RR|8 wickets|4|8.5|4|RR|59.21
19|10/5/20|7:30:00|Dubai|RCB|DC|DC|RCB|59 runs|17|8.5|4|DC|40.19
25|10/10/20|7:30:00|Dubai|CSK|RCB|RCB|CSK|37 runs|30|8.5|4|RCB|22.32
28|10/12/20|7:30:00|Sharjah|RCB|KKR|RCB|KKR|82 runs|4|8.5|4|KKR|26.89
31|10/15/20|7:30:00|Sharjah|RCB|KXIP|KXIP|RCB|8 wickets|31|8.5|4|KXIP|22.64
3|9/21/20|7:30:00|Dubai|SRH|RCB|RCB|SRH|10 runs|63|8|4|RCB|32.9
6|9/24/20|7:30:00|Dubai|KXIP|RCB|KXIP|RCB|97 runs|64|8|4|RCB|52.88
10|9/28/20|7:30:00|Dubai|RCB|MI|RCB|MI|2 wickets)|38|8.5|4|MI|57.62
15|10/3/20|3:30:00|Abu Dhabi|RCB|RR|RCB|RR|8 wickets|4|8.5|4|RR|59.21
19|10/5/20|7:30:00|Dubai|RCB|DC|DC|RCB|59 runs|17|8.5|4|DC|40.19
25|10/10/20|7:30:00|Dubai|CSK|RCB|RCB|CSK|37 runs|30|8.5|4|RCB|22.32
28|10/12/20|7:30:00|Sharjah|RCB|KKR|RCB|KKR|82 runs|4|8.5|4|KKR|26.89
31|10/15/20|7:30:00|Sharjah|RCB|KXIP|KXIP|RCB|8 wickets|31|8.5|4|KXIP|22.64
48|10/28/20|7:30:00|Abu Dhabi|MI|RCB|MI|RCB|5 wickets|6|8|4|RCB|13.99
