MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
1|9/19/20|7:30:00|Abu Dhabi|MI|CSK|CSK|MI|5 wickets|50|8|2|MI|5.76
5|9/23/20|7:30:00|Abu Dhabi|KKR|MI|MI|KKR|49 runs|54|8|2|MI|27.11
10|9/28/20|7:30:00|Dubai|RCB|MI|RCB|MI|2 wickets)|-2|8|2|MI|42.23
13|10/1/20|7:30:00|Abu Dhabi|KXIP|MI|MI|KXIP|48 runs|54|8|2|MI|22.2
17|10/4/20|3:30:00|Sharjah|MI|SRH|MI|SRH|34 runs|54|8|2|SRH|31.1
20|10/6/20|7:30:00|Abu Dhabi|MI|RR|MI|RR|57 runs|56|8|2|RR|40.33
27|10/11/20|7:30:00|Abu Dhabi|MI|DC|MI|DC|5 wickets|-2|8.5|2|DC|21.55
1|9/19/20|7:30:00|Abu Dhabi|MI|CSK|CSK|MI|5 wickets|50|8|2|MI|5.76
5|9/23/20|7:30:00|Abu Dhabi|KKR|MI|MI|KKR|49 runs|54|8|2|MI|27.11
10|9/28/20|7:30:00|Dubai|RCB|MI|RCB|MI|2 wickets)|-2|8|2|MI|42.23
13|10/1/20|7:30:00|Abu Dhabi|KXIP|MI|MI|KXIP|48 runs|54|8|2|MI|22.2
17|10/4/20|3:30:00|Sharjah|MI|SRH|MI|SRH|34 runs|54|8|2|SRH|31.1
20|10/6/20|7:30:00|Abu Dhabi|MI|RR|MI|RR|57 runs|56|8|2|RR|40.33
27|10/11/20|7:30:00|Abu Dhabi|MI|DC|MI|DC|5 wickets|-2|8.5|2|DC|21.55
45|10/25/20|7:30:00|Abu Dhabi|RR|MI|RR|MI|8 wickets|48|8.5|2|MI|14.63
48|10/28/20|7:30:00|Abu Dhabi|MI|RCB|MI|RCB|5 wickets|6|8.5|2|RCB|27.49
