MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
10|9/28/20|7:30:00|Dubai|RCB|MI|RCB|MI|2 wickets)|131|8.5|3|MI|24.84
13|10/1/20|7:30:00|Abu Dhabi|KXIP|MI|MI|KXIP|48 runs|35|8.5|3|MI|64.93
17|10/4/20|3:30:00|Sharjah|MI|SRH|MI|SRH|34 runs|48|8.5|3|SRH|68.48
20|10/6/20|7:30:00|Abu Dhabi|MI|RR|MI|RR|57 runs|2|8.5|3|RR|57.79
27|10/11/20|7:30:00|Abu Dhabi|MI|DC|MI|DC|5 wickets|38|8.5|3|DC|51.19
32|10/16/20|7:30:00|Abu Dhabi|MI|KKR|MI|KKR|8 wickets|4|8.5|3|KKR|48.09
36|10/18/20|7:30:00|Dubai|MI|KXIP|KXIP|MI|2 wickets)|12|8.5|3|KXIP|33.38
10|9/28/20|7:30:00|Dubai|RCB|MI|RCB|MI|2 wickets)|131|8.5|3|MI|24.84
13|10/1/20|7:30:00|Abu Dhabi|KXIP|MI|MI|KXIP|48 runs|35|8.5|3|MI|64.93
17|10/4/20|3:30:00|Sharjah|MI|SRH|MI|SRH|34 runs|48|8.5|3|SRH|68.48
20|10/6/20|7:30:00|Abu Dhabi|MI|RR|MI|RR|57 runs|2|8.5|3|RR|57.79
27|10/11/20|7:30:00|Abu Dhabi|MI|DC|MI|DC|5 wickets|38|8.5|3|DC|51.19
32|10/16/20|7:30:00|Abu Dhabi|MI|KKR|MI|KKR|8 wickets|4|8.5|3|KKR|48.09
36|10/18/20|7:30:00|Dubai|MI|KXIP|KXIP|MI|2 wickets)|12|8.5|3|KXIP|33.38
41|10/23/20|7:30:00|Sharjah|CSK|MI|MI|CSK|10 wickets|96|8.5|3|MI|38.65
45|10/25/20|7:30:00|Abu Dhabi|RR|MI|RR|MI|8 wickets|47|8.5|3|MI|53.74
48|10/28/20|7:30:00|Abu Dhabi|MI|RCB|MI|RCB|5 wickets|34|8.5|3|RCB|56.6
