MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
8|9/26/20|7:30:00|Abu Dhabi|KKR|SRH|KKR|SRH|7 wickets|27|8|2|SRH|8.11
11|9/29/20|7:30:00|Abu Dhabi|DC|SRH|SRH|DC|15 runs|25|8|2|SRH|30.5
14|10/2/20|7:30:00|Dubai|CSK|SRH|SRH|CSK|7 runs|4|8|2|SRH|23.5
22|10/8/20|7:30:00|Dubai|SRH|KXIP|SRH|KXIP|69 runs|60|8|2|KXIP|21.03
26|10/11/20|3:30:00|Dubai|SRH|RR|RR|SRH|5 wickets|52|8|2|RR|41.08
29|10/13/20|7:30:00|Dubai|SRH|CSK|CSK|SRH|20 runs|48|8|2|CSK|50.45
8|9/26/20|7:30:00|Abu Dhabi|KKR|SRH|KKR|SRH|7 wickets|27|8|2|SRH|8.11
11|9/29/20|7:30:00|Abu Dhabi|DC|SRH|SRH|DC|15 runs|25|8|2|SRH|30.5
14|10/2/20|7:30:00|Dubai|CSK|SRH|SRH|CSK|7 runs|4|8|2|SRH|23.5
22|10/8/20|7:30:00|Dubai|SRH|KXIP|SRH|KXIP|69 runs|60|8|2|KXIP|21.03
26|10/11/20|3:30:00|Dubai|SRH|RR|RR|SRH|5 wickets|52|8|2|RR|41.08
29|10/13/20|7:30:00|Dubai|SRH|CSK|CSK|SRH|20 runs|48|8|2|CSK|50.45
43|10/24/20|7:30:00|Dubai|KXIP|SRH|KXIP|SRH|12 runs|12|8|2|SRH|25.2
