MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
1|9/19/20|7:30:00|Abu Dhabi|MI|CSK|CSK|MI|5 wickets|30|8.5|4|MI|35.06
5|9/23/20|7:30:00|Abu Dhabi|KKR|MI|MI|KKR|49 runs|5|8.5|4|MI|28.82
10|9/28/20|7:30:00|Dubai|RCB|MI|RCB|MI|2 wickets)|4|8.5|4|MI|23.34
13|10/1/20|7:30:00|Abu Dhabi|KXIP|MI|MI|KXIP|48 runs|29|8.5|4|MI|17.36
17|10/4/20|3:30:00|Sharjah|MI|SRH|MI|SRH|34 runs|55|8.5|4|SRH|17.28
20|10/6/20|7:30:00|Abu Dhabi|MI|RR|MI|RR|57 runs|14|8.5|4|RR|23.58
27|10/11/20|7:30:00|Abu Dhabi|MI|DC|MI|DC|5 wickets|76|8.5|4|DC|20.12
32|10/16/20|7:30:00|Abu Dhabi|MI|KKR|MI|KKR|8 wickets|6|8.5|4|KKR|34.79
36|10/18/20|7:30:00|Dubai|MI|KXIP|KXIP|MI|2 wickets)|46|8.5|4|KXIP|51.17
1|9/19/20|7:30:00|Abu Dhabi|MI|CSK|CSK|MI|5 wickets|30|8.5|4|MI|35.06
5|9/23/20|7:30:00|Abu Dhabi|KKR|MI|MI|KKR|49 runs|5|8.5|4|MI|28.82
10|9/28/20|7:30:00|Dubai|RCB|MI|RCB|MI|2 wickets)|4|8.5|4|MI|23.34
13|10/1/20|7:30:00|Abu Dhabi|KXIP|MI|MI|KXIP|48 runs|29|8.5|4|MI|17.36
17|10/4/20|3:30:00|Sharjah|MI|SRH|MI|SRH|34 runs|55|8.5|4|SRH|17.28
20|10/6/20|7:30:00|Abu Dhabi|MI|RR|MI|RR|57 runs|14|8.5|4|RR|23.58
27|10/11/20|7:30:00|Abu Dhabi|MI|DC|MI|DC|5 wickets|76|8.5|4|DC|20.12
32|10/16/20|7:30:00|Abu Dhabi|MI|KKR|MI|KKR|8 wickets|6|8.5|4|KKR|34.79
36|10/18/20|7:30:00|Dubai|MI|KXIP|KXIP|MI|2 wickets)|46|8.5|4|KXIP|51.17
41|10/23/20|7:30:00|Sharjah|CSK|MI|MI|CSK|10 wickets|14|8.5|4|MI|30.17
45|10/25/20|7:30:00|Abu Dhabi|RR|MI|RR|MI|8 wickets|5|8.5|4|MI|27.07
48|10/28/20|7:30:00|Abu Dhabi|MI|RCB|MI|RCB|5 wickets|15|8|4|RCB|30.32
