MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
1|9/19/20|7:30:00|Abu Dhabi|MI|CSK|CSK|MI|5 wickets|95|9|1|CSK|50.24
14|10/2/20|7:30:00|Dubai|CSK|SRH|SRH|CSK|7 runs|19|9|1|SRH|66.32
18|10/4/20|7:30:00|Dubai|KXIP|CSK|CSK|KXIP|10 wickets|12|9|1|CSK|78.86
21|10/7/20|7:30:00|Abu Dhabi|KKR|CSK|KKR|CSK|10 runs|37|9|1|CSK|53.03
25|10/10/20|7:30:00|Dubai|CSK|RCB|RCB|CSK|37 runs|50|9|1|RCB|50.31
29|10/13/20|7:30:00|Dubai|SRH|CSK|CSK|SRH|20 runs|52|9|1|CSK|53.5
34|10/17/20|7:30:00|Sharjah|DC|CSK|DC|CSK|5 wickets|66|9|1|CSK|49.42
37|10/19/20|7:30:00|Abu Dhabi|CSK|RR|RR|CSK|7 wickets|17|9|1|RR|67.72
1|9/19/20|7:30:00|Abu Dhabi|MI|CSK|CSK|MI|5 wickets|95|9|1|CSK|50.24
14|10/2/20|7:30:00|Dubai|CSK|SRH|SRH|CSK|7 runs|19|9|1|SRH|66.32
18|10/4/20|7:30:00|Dubai|KXIP|CSK|CSK|KXIP|10 wickets|12|9|1|CSK|78.86
21|10/7/20|7:30:00|Abu Dhabi|KKR|CSK|KKR|CSK|10 runs|37|9|1|CSK|53.03
25|10/10/20|7:30:00|Dubai|CSK|RCB|RCB|CSK|37 runs|50|9|1|RCB|50.31
29|10/13/20|7:30:00|Dubai|SRH|CSK|CSK|SRH|20 runs|52|9|1|CSK|53.5
34|10/17/20|7:30:00|Sharjah|DC|CSK|DC|CSK|5 wickets|66|9|1|CSK|49.42
37|10/19/20|7:30:00|Abu Dhabi|CSK|RR|RR|CSK|7 wickets|17|9|1|RR|67.72
41|10/23/20|7:30:00|Sharjah|CSK|MI|MI|CSK|10 wickets|6|9|1|MI|72.85
44|10/25/20|3:30:00|Dubai|RCB|CSK|CSK|RCB|8 wickets|50|9|1|CSK|54.6
49|10/29/20|7:30:00|Dubai|CSK|KKR|CSK|KKR|6 wickets|57|9|1|KKR|61.98
