MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
11|9/29/20|7:30:00|Abu Dhabi|DC|SRH|SRH|DC|15 runs|50|9.5|1|SRH|46.92
14|10/2/20|7:30:00|Dubai|CSK|SRH|SRH|CSK|7 runs|12|9.5|1|SRH|71.2
17|10/4/20|3:30:00|Sharjah|MI|SRH|MI|SRH|34 runs|1|9.5|1|SRH|56.42
22|10/8/20|7:30:00|Dubai|SRH|KXIP|SRH|KXIP|69 runs|35|9.5|1|KXIP|51.48
26|10/11/20|3:30:00|Dubai|SRH|RR|RR|SRH|5 wickets|30|9.5|1|RR|46.44
29|10/13/20|7:30:00|Dubai|SRH|CSK|CSK|SRH|20 runs|84|9.5|1|CSK|42.42
35|10/18/20|3:30:00|Abu Dhabi|SRH|KKR|KKR|SRH|2 wickets)|39|9.5|1|KKR|51.49
11|9/29/20|7:30:00|Abu Dhabi|DC|SRH|SRH|DC|15 runs|50|9.5|1|SRH|46.92
14|10/2/20|7:30:00|Dubai|CSK|SRH|SRH|CSK|7 runs|12|9.5|1|SRH|71.2
17|10/4/20|3:30:00|Sharjah|MI|SRH|MI|SRH|34 runs|1|9.5|1|SRH|56.42
22|10/8/20|7:30:00|Dubai|SRH|KXIP|SRH|KXIP|69 runs|35|9.5|1|KXIP|51.48
26|10/11/20|3:30:00|Dubai|SRH|RR|RR|SRH|5 wickets|30|9.5|1|RR|46.44
29|10/13/20|7:30:00|Dubai|SRH|CSK|CSK|SRH|20 runs|84|9.5|1|CSK|42.42
35|10/18/20|3:30:00|Abu Dhabi|SRH|KKR|KKR|SRH|2 wickets)|39|9.5|1|KKR|51.49
47|10/27/20|7:30:00|Dubai|SRH|DC|SRH|DC|88 runs|24|9|1|DC|47.83
