MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
4|9/22/20|7:30:00|Sharjah|RR|CSK|RR|CSK|16 runs|0|8.5|2|RR|24.41
9|9/27/20|7:30:00|Sharjah|RR|KXIP|RR|KXIP|4 wickets|2|8.5|2|RR|8.37
12|9/30/20|7:30:00|Dubai|RR|KKR|KKR|RR|37 runs|46|8.5|2|KKR|8.61
15|10/3/20|3:30:00|Abu Dhabi|RCB|RR|RCB|RR|8 wickets|0|8.5|2|RR|10.93
26|10/11/20|3:30:00|Dubai|SRH|RR|RR|SRH|5 wickets|29|8.5|2|RR|7.92
30|10/14/20|7:30:00|Dubai|DC|RR|DC|RR|13 runs|50|8.5|2|RR|8.84
33|10/17/20|3:30:00|Dubai|RR|RCB|RCB|RR|7 wickets|-2|8|2|RCB|22.77
4|9/22/20|7:30:00|Sharjah|RR|CSK|RR|CSK|16 runs|0|8.5|2|RR|24.41
9|9/27/20|7:30:00|Sharjah|RR|KXIP|RR|KXIP|4 wickets|2|8.5|2|RR|8.37
12|9/30/20|7:30:00|Dubai|RR|KKR|KKR|RR|37 runs|46|8.5|2|KKR|8.61
15|10/3/20|3:30:00|Abu Dhabi|RCB|RR|RCB|RR|8 wickets|0|8.5|2|RR|10.93
26|10/11/20|3:30:00|Dubai|SRH|RR|RR|SRH|5 wickets|29|8.5|2|RR|7.92
30|10/14/20|7:30:00|Dubai|DC|RR|DC|RR|13 runs|50|8.5|2|RR|8.84
33|10/17/20|3:30:00|Dubai|RR|RCB|RCB|RR|7 wickets|-2|8|2|RCB|22.77
